form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T1,A,A-1-01,Agent 2/3/4,7.1.2,项羽本纪,开始起兵时,否,不确定,,0.9,句中有明确时间短语'开始起兵时'，且描述具体事件（年龄），非下沉；由于上下文缺少明确叙述时间线，是否插叙不能确定。
T1,A,A-1-02,Agent 2/3/4,7.48.3,项羽本纪,最初,否,否,,0.9,'最初'为模糊时间词，但句中包含封鲁公、葬鲁公等具体事件，非下沉句；叙述连贯未中断当前时间线，非插叙。
T1,A,A-1-03,Agent 2/3/4,8.5.11,高祖本纪,等到高祖显贵,否,否,,0.9,句中有明确时间原文'等到高祖显贵'，非下沉句；叙述顺序为按时间先后，非插叙/倒叙。
T1,A,A-1-04,Agent 2/3/4,8.6.2,高祖本纪,等到显贵时,否,否,,0.9,句子有明确时间信息原文“等到显贵时”，描述高祖显贵后仍戴此帽的行为，不是纯粹描述性下沉句，且叙事顺序正常，不是插叙。
T1,A,A-1-05,Agent 2/3/4,8.9.1,高祖本纪,秦二世元年秋天,否,否,,1.0,句子明确提到秦二世元年秋天，且描述了起义事件，不是下沉句或插叙。
T1,A,A-1-06,Agent 2/3/4,8.10.7,高祖本纪,无,是,否,,0.95,该句描述萧何、曹参的身份和顾虑，无具体事件发生，且无明确时间信息原文。
T1,A,A-1-07,Agent 2/3/4,7.17.7,项羽本纪,无,否,否,,1.0,目标句是项羽的说话行为，有具体事件（下令），非下沉句；上下文连贯，无插叙倒叙。
T1,A,A-1-08,Agent 2/3/4,7.17.2,项羽本纪,无,否,否,,0.9,句子陈述事件，不是下沉句；叙述顺序与上下文一致，非插叙倒叙；无明确时间信息原文。
T1,B,B5-01,Agent 5,8.23.3,,,,,B,1.0,题面背景明确在汉元年十月之后，原文写‘十一月间’，应保持同一纪元，故补全为汉元年十一月。
T1,B,B5-02,Agent 5,8.30.1,,,,,B,1.0,题目背景已交代汉王在八月袭雍，原文写‘二年’，结合汉初纪年，八月后已进入汉二年，故应补全为汉二年。
T1,B,B6-01,Agent 6,8.16.1|8.9.1,,,,,B,1.0,材料A开头明确写有“秦二世三年”，材料B开头为“秦二世元年”，时间上B早于A。
T1,B,B6-02,Agent 6,8.22.1|8.23.3,,,,,A,1.0,材料A中沛公先入关中，接受子婴投降，然后封宫室回军霸上；材料B中项羽率军西进时关门已闭，说明A事件发生在B之前。
T1,C,C9-01,Agent 9,7.3.15,项羽本纪,,,,B,0.85,target描述项羽征募八千精兵，B中沛公征募两三千人（8.10.13），均为起兵初期的募兵行动，核心动作链一致。其他选项涉及不同阶段的事件。
T1,C,C9-02,Agent 9,7.10.1,项羽本纪,,,,C,1.0,target描述楚怀王因项梁败于定陶而恐惧，迁都彭城并合并项羽、吕臣军队；source C中的8.16.1完全对应此事件，核心动作链一致。
T1,C,C9-03,Agent 9,7.17.2,项羽本纪,,,,A,0.95,target描述函谷关有兵把守，项羽不能入关；source A中8.23.1-8.23.4明确提及派兵守函谷关、项羽欲入关、关门闭着且被攻破，核心动作链一致。
T1,C,C9-04,Agent 9,7.27.1,项羽本纪,,,,D,0.95,target描述汉王回军平定三秦，D中8.29.1-8.29.3详细记载了汉王用韩信计从故道回军、袭击章邯、平定雍地的过程，核心动作链一致，且记于同一年（八月、二年），紧密度最高。
T2,A,A-2-01,Agent 2/3/4,8.21.1,高祖本纪,起初,否,是,,0.95,时间信息原文'起初'表示时间顺序，但较模糊；句子描述项羽在赵地的行动，中断当前沛公西进主线，故为插叙。
T2,A,A-2-02,Agent 2/3/4,8.38.5,高祖本纪,第二年,否,否,,1.0,句中有明确时间信息原文'第二年'，且表示一个事件（封张耳为赵王）的发生，不是下沉句；上下文叙事连续，未出现时间线跳跃。
T2,A,A-2-03,Agent 2/3/4,8.60.3,高祖本纪,无,是,是,,0.9,句子描述利几的历史背景，无明确时间，属于下沉句；且叙述中断当前时间线，补充利几过去经历，是插叙。
T2,A,A-2-04,Agent 2/3/4,8.84.1,高祖本纪,无,否,否,,0.95,句中有'攻打黥布时'是背景时间，但非明确时间点；事件是生病，非下沉；叙述顺序正常，非插叙倒叙。
T2,A,A-2-05,Agent 2/3/4,8.11.1,高祖本纪,秦二世二年,否,否,,1.0,句中有明确时间信息原文“秦二世二年”，且描述具体事件（周章军西至戏水而还），不是下沉句，也不是插叙倒叙。
T2,A,A-2-06,Agent 2/3/4,8.22.1,高祖本纪,汉元年十月,否,否,,1.0,句子有明确时间信息原文“汉元年十月”，且包含事件“沛公的军队先于各路诸侯到达霸上”，不是下沉句；上下文按时间顺序叙述，无插叙倒叙。
T2,A,A-2-07,Agent 2/3/4,7.18.1,项羽本纪,无,是,否,,1.0,该句介绍项伯身份（项羽叔父）并与张良的关系，是背景描述，无具体事件，且无明确时间信息原文。
T2,A,A-2-08,Agent 2/3/4,7.29.3,项羽本纪,四月,否,否,,0.95,目标句首有明确时间词语“四月”，且句内描述具体战斗事件，非下沉句；叙事按时间顺序进行，无双时间线跳转，非插叙/倒叙。
T2,B,B5-03,Agent 5,7.29.3,,,,,A,1.0,前文有汉二年冬、春天，到四月自然推进，故选汉二年四月。
T2,B,B5-04,Agent 5,8.26.1,,,,,D,0.7,题面材料中提及'前文汉元年十一月、十二月及项羽分封阶段'，项羽分封发生在秦灭亡后、汉元年之前，而'正月'在秦历中为岁首，秦二世三年正月在时间线上最接近且符合项羽分封的叙述。但需注意选项C的'汉元年正月'也在讨论范围内，但基于题面'前文'的明确指代，D为更合理选择。
T2,B,B6-03,Agent 6,8.21.1|8.23.5,,,,,A,0.9,材料A描述项羽杀宋义并取代其位（发生在前），材料B提到章邯投降项羽及项羽封王等后续事件，且B中时间词'十一月'在项羽杀宋义之后，故A早于B。
T2,B,B6-04,Agent 6,8.60.3|8.52.7,,,,,A,0.95,材料A提到项羽失败时利几投降，材料B描述项羽被灌婴追斩，A的失败背景是B的直接结果，故A事件晚于B；实际上利几投降发生在项羽死后，但题面逻辑是项羽失败（B）在先，利几见势投降（A）在后，因此A早于B的判断有误；正确应为B早于A，但选项排序需按题面逻辑，故选A表示A早于B合理？回忆历史：项羽被斩后楚地平定，利几作为陈县县令在项羽失败后投降，时间上B在前，A在后，因此B早于A，应选B。抱歉，修正：B早于A，选B。
