form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T1,A,A-1-01,Agent 2/3/4,7.1.2,项羽本纪,无,是,否,,0.95,[reviewed] 句子描述项梁生气，是状态性描述，无明确时间信息原文，判定为下沉句。
T1,A,A-1-02,Agent 2/3/4,7.48.3,项羽本纪,最初，楚怀王曾封项籍为鲁公，等到项籍死了，鲁城又最后投降,否,是,,1.0,[reviewed] 时间信息原文包括事件相对时间短语'最初'和'等到项籍死了'，明确指示过去的时间点；句子描述了楚怀王封项籍和鲁城投降的事件，不属下沉；'最初'中断当前叙事线，转入过去背景，判为插叙。
T1,A,A-1-03,Agent 2/3/4,8.5.11,高祖本纪,等到高祖显贵,否,是,,0.9,[reviewed] 句首'等到高祖显贵'指明时间锚点，且该句描述事件（老人去处未知），非下沉句；时间上跳至未来，形成插叙。
T1,A,A-1-04,Agent 2/3/4,8.6.2,高祖本纪,等到显贵时,否,否,,1.0,[reviewed] 有明确时间短语'等到显贵时'，描述事件（仍然戴着刘氏冠），非下沉句；叙述顺序符合时间线，无插叙。
T1,A,A-1-05,Agent 2/3/4,8.9.1,高祖本纪,秦二世元年秋天,否,否,,1.0,[reviewed] 句子包含明确时间短语'秦二世元年秋天'，描述陈胜起义的具体事件，非描述性下沉句；上下文为连续叙述，无时间线中断。
T1,A,A-1-06,Agent 2/3/4,8.10.7,高祖本纪,无,是,否,,0.95,[reviewed] 句子无明确时间原文，描述萧何、曹参的顾虑和性格，属于背景说明性下沉句。
T1,A,A-1-07,Agent 2/3/4,7.17.7,项羽本纪,无,否,否,,1.0,[reviewed] 目标句为直接引语，属于说话内容，不判定时间、下沉或插叙。
T1,A,A-1-08,Agent 2/3/4,7.17.2,项羽本纪,无,否,否,,1.0,[reviewed] 句子无时间信息原文，叙述具体事件（项羽军受阻于函谷关），非下沉句；上下文顺叙，无插叙。
T1,B,B5-01,Agent 5,8.23.3,,,,,B,0.95,背景信息明确沛公已在汉元年十月到达霸上并采取行动，后续叙事延续汉元年纪年，原文直接写‘十一月间’，故补全为‘汉元年十一月’最合理。
T1,B,B5-02,Agent 5,8.30.1,,,,,B,1.0,背景信息明确提到汉王在八月从故道袭击章邯，原文紧接着写‘二年’，且前文已提到项羽在正月自立为西楚霸王、改立沛公为汉王，所以此处‘二年’应为汉二年。
T1,B,B6-01,Agent 6,8.16.1|8.9.1,,,,,B,1.0,材料A开头为‘秦二世三年’，材料B开头为‘秦二世元年秋天’，因此B早于A。
T1,B,B6-02,Agent 6,8.22.1|8.23.3,,,,,A,1.0,材料A中沛公军先至霸上并受降秦王，材料B中项羽欲入关而关门闭，说明A事件发生在B之前，因为项羽入关时沛公已占据关中。
T1,C,C9-01,Agent 9,7.3.15,项羽本纪,,,,A,0.9,target描述项羽搜罗精兵八千人，A中相邻段落涉及项梁起兵、楚怀王整合军队、北救赵等，均属项羽起兵前后的紧密事件链，且A中多处提及项羽及军队调动，与target更可能共属同一历史过程。
T1,C,C9-02,Agent 9,7.10.1,项羽本纪,,,,C,1.0,Target描述楚怀王因定陶之败恐惧，从盱台迁彭城，合并项羽吕臣军队。Source C中【8.16.1】与Target核心动作链完全一致：项梁军被打垮、楚怀王恐惧、迁离盱台、建都彭城、合并吕臣项羽军队、亲自统率。
T1,C,C9-03,Agent 9,7.17.2,项羽本纪,,,,C,0.8,Target描述函谷关被守，不能入；C中8.23.3-8.23.4直接叙述项羽入关遇关门闭着并攻破，核心动作为把守和入关冲突，时间点相近。A、B、D均为其他事件或背景。
T1,C,C9-04,Agent 9,7.27.1,项羽本纪,,,,D,0.95,target是汉王回军平定三秦，D中8.29.1-8.29.3详细描述汉王用韩信计从故道回军，袭击雍王章邯，平定雍地，核心动作链一致。其他选项未涉及回军平定三秦的具体事件。
T2,A,A-2-01,Agent 2/3/4,8.21.1,高祖本纪,起初，项羽和宋义北进援救赵，等到项羽杀死宋义，代替他为上将军,否,是,,1.0,[reviewed] 句子以'起初'开头，含有'项羽和宋义北进援救赵'、'等到项羽杀死宋义'等事件相对时间短语，描述项羽之前事件，属于插叙。
T2,A,A-2-02,Agent 2/3/4,8.38.5,高祖本纪,第二年,否,否,,1.0,[reviewed] 时间信息原文为明确的时间名词短语；句子叙述封张耳为王的动作，非纯描述性下沉句；在连续时间线上推进，非插叙倒叙。
T2,A,A-2-03,Agent 2/3/4,8.60.3,高祖本纪,项氏失败时,否,是,,0.9,[reviewed] 时间信息原文为‘项氏失败时’，句子叙述利几在项羽失败后的降汉经历，属于过去背景插入，非下沉句。
T2,A,A-2-04,Agent 2/3/4,8.84.1,高祖本纪,高祖攻打黥布时,否,否,,1.0,[reviewed] 目标句有明确事件相对时间短语“高祖攻打黥布时”，陈述被流矢射中、行进途中得病这一事件，不是下沉句；叙事时间与上下文一致，不是插叙。
T2,A,A-2-05,Agent 2/3/4,8.11.1,高祖本纪,秦二世二年,否,否,,1.0,[reviewed] 句首明确出现时间短语“秦二世二年”，叙述陈胜将领周章的事件，属于具体历史事件，非下沉句；上下文从沛公故事转到全国范围起义，但“秦二世二年”开新段，是正常叙事，非插叙。
T2,A,A-2-06,Agent 2/3/4,8.22.1,高祖本纪,汉元年十月,否,否,,1.0,[reviewed] 句首有明确时间原文'汉元年十月'；句子描述军队到达霸上的具体事件，非单纯背景；时间线连续，无双时态偏离。
T2,A,A-2-07,Agent 2/3/4,7.18.1,项羽本纪,无,是,否,,1.0,[reviewed] 句子介绍项伯身份、与张良关系，无具体事件，无明确时间原文，符合下沉句定义。
T2,A,A-2-08,Agent 2/3/4,7.29.3,项羽本纪,四月,否,否,,1.0,[reviewed] 句子开头有明确时间信息原文'四月'，且描述了汉军进入彭城及项王攻击的具体事件，非下沉句，也非插叙/倒叙。
T2,B,B5-03,Agent 5,7.29.3,,,,,A,0.95,题面前文有'汉二年冬'和'春天'的序列，且材料7.29.3开头为'四月'，按叙事链应补全为'汉二年四月'。
T2,B,B5-04,Agent 5,8.26.1,,,,,C,0.9,前文有汉元年十一月、十二月，时间顺序推至正月，且项羽本纪记载在汉元年正月分封，故补为汉元年正月。
T2,B,B6-03,Agent 6,8.21.1|8.23.5,,,,,A,0.9,材料A描述项羽杀宋义、为上将军，发生在救赵期间；材料B提及项羽西进入关，时间在沛公守函谷关之后，且B中十一月项羽西进，A发生在更早的救赵时期，故A早于B。
T2,B,B6-04,Agent 6,8.60.3|8.52.7,,,,,A,0.95,材料A说项氏失败时利几投降高祖，材料B说汉王派灌婴追击项羽并杀之，显然项氏失败包括项羽被杀，A是B的background条件，故A早于B。
T2,C,C9-05,Agent 9,8.51.2,高祖本纪,,,,B,0.95,Target描述汉王采纳张良、陈平计策追击项羽，与齐王韩信、彭越约期会合攻楚。B选项[7.43.2]张良、陈平劝汉王追击，[7.44.1]汉王追至阳夏南与韩信、彭越约期会合，核心动作链完全一致。
