form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T1,A,A-1-01,Agent 2/3/4,7.1.2,项羽本纪,开始起兵时,否,否,,0.9,描述项羽起兵时的年龄，有明确时间信息原文，不是下沉句，也不是插叙倒叙。
T1,A,A-1-02,Agent 2/3/4,7.48.3,项羽本纪,最初,否,否,,0.9,“最初”是模糊时间词，不能独立定位事件，故时间信息原文填“无”；句子叙述事件发展，非下沉句；叙述顺序正常，非插叙倒叙。
T1,A,A-1-03,Agent 2/3/4,8.5.11,高祖本纪,无,是,否,,0.9,句子陈述高祖显贵后不知老人去向，无具体时间，主要为评价和状态描述，故为下沉句。
T1,A,A-1-04,Agent 2/3/4,8.6.2,高祖本纪,无,是,否,,0.9,目标句描述高祖显贵后仍戴竹皮冠的常态，无具体时间，属于状态描述，故为下沉句；且叙事未中断当前时间线，非插叙。
T1,A,A-1-05,Agent 2/3/4,8.9.1,高祖本纪,秦二世元年秋天,否,否,,1.0,句子有明确时间原文“秦二世元年秋天”，且叙述陈胜起义事件，非下沉句，也非插叙/倒叙。
T1,A,A-1-06,Agent 2/3/4,8.10.7,高祖本纪,无,是,否,,0.9,句子描述萧何、曹参的身份和动机，属于背景性描述，无明确时间信息原文，非插叙。
T1,A,A-1-07,Agent 2/3/4,7.17.7,项羽本纪,无,否,否,,0.95,该句是项羽说话的直接引语，属于叙事层的对话，有具体动作（说），且说话内容中的‘明天早晨’是引语内部的时间，不作为当前叙事层的时间原文。
T1,A,A-1-08,Agent 2/3/4,7.17.2,项羽本纪,无,否,否,,0.95,句子陈述事实，不涉及下沉或插叙；没有明确时间信息原文。
T1,B,B5-01,Agent 5,8.23.3,,,,,B,1.0,背景信息明确提到汉元年十月沛公已到霸上，十一月间项羽欲入关，且材料中书‘十一月间’，故补全为汉元年十一月。
T1,B,B5-02,Agent 5,8.30.1,,,,,B,1.0,背景中汉王八月回军，平定雍地后东出，应是汉二年正月后，故为汉二年。
T1,B,B6-01,Agent 6,8.16.1|8.9.1,,,,,B,1.0,材料B明确写明秦二世元年，材料A明确写明秦二世三年，故B早于A。
T1,B,B6-02,Agent 6,8.22.1|8.23.3,,,,,A,1.0,材料A中沛公已入咸阳并回军霸上，随后材料B中项羽西进欲入关而关门闭，明显A事件在前。
T1,C,C9-01,Agent 9,7.3.15,项羽本纪,,,,A,0.7,Target描述项羽搜罗丁壮得精兵八千，与A选项楚怀王合并吕臣、项羽军队前后呼应，同属项梁死后重整军队的事件链。
T1,C,C9-02,Agent 9,7.10.1,项羽本纪,,,,C,1.0,Target描述项梁死后楚怀王恐惧，迁都彭城并合并项羽、吕臣军队；C中8.16.1完全对应此事，核心动作链一致。
T1,C,C9-03,Agent 9,7.17.2,项羽本纪,,,,A,0.95,Target描述函谷关有兵把守，项羽不能进入。Source A中8.23.1-8.23.4提到有人劝沛公派兵守函谷关，沛公照做，随后项羽率军至函谷关被阻，大怒攻破，核心动作链一致。
T1,C,C9-04,Agent 9,7.27.1,项羽本纪,,,,D,0.95,target描述汉王回军平定三秦，source D的8.29.1-8.29.3详细描述了汉王用韩信计策从故道回军、击败章邯并平定雍地，即平定了三秦的一部分，核心动作链一致。
T2,A,A-2-01,Agent 2/3/4,8.21.1,高祖本纪,起初,否,是,,0.9,句首‘起初’标明回顾过去事件，前文叙述沛公进程，此句转入项羽行动，是插叙。
T2,A,A-2-02,Agent 2/3/4,8.38.5,高祖本纪,第二年,否,否,,1.0,时间信息原文为“第二年”，非下沉句，且上下文一致，无插叙倒叙。
T2,A,A-2-03,Agent 2/3/4,8.60.3,高祖本纪,项氏失败时,否,是,,0.9,描述利几在项氏失败时的行为，是对人物的追述，打断当前时间线。
T2,A,A-2-04,Agent 2/3/4,8.84.1,高祖本纪,无,否,否,,1.0,句中有‘攻打黥布时’作为时间背景，但并非独立明确时间短语，且句子描述事件，非下沉；上下文顺叙，非插叙。
T2,A,A-2-05,Agent 2/3/4,8.11.1,高祖本纪,秦二世二年,否,否,,0.95,句中有明确时间信息原文“秦二世二年”，且该句叙述具体事件（陈胜将领周章的军队行动），非下沉句，也非插叙/倒叙。
T2,A,A-2-06,Agent 2/3/4,8.22.1,高祖本纪,汉元年十月,否,否,,1.0,句中有明确纪年时间，不是下沉句；按事件顺序叙述，无插叙倒叙。
T2,A,A-2-07,Agent 2/3/4,7.18.1,项羽本纪,无,是,否,,1.0,句子介绍项伯的身份和关系，没有具体事件，是描述性下沉句，且无明确时间信息原文。
T2,A,A-2-08,Agent 2/3/4,7.29.3,项羽本纪,四月,否,否,,1.0,句中明确有'四月'，是时间信息原文；描述了具体的战争事件，不是下沉句；叙述顺承前文，不是插叙或倒叙。
