form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T2,A,A-2-01,Agent 2/3/4,8.21.1,高祖本纪,,,,,,
T2,A,A-2-02,Agent 2/3/4,8.38.5,高祖本纪,,,,,,
T2,A,A-2-03,Agent 2/3/4,8.60.3,高祖本纪,,,,,,
T2,A,A-2-04,Agent 2/3/4,8.84.1,高祖本纪,,,,,,
T2,A,A-2-05,Agent 2/3/4,8.11.1,高祖本纪,,,,,,
T2,A,A-2-06,Agent 2/3/4,8.22.1,高祖本纪,,,,,,
T2,A,A-2-07,Agent 2/3/4,7.18.1,项羽本纪,,,,,,
T2,A,A-2-08,Agent 2/3/4,7.29.3,项羽本纪,,,,,,
T2,B,B5-03,Agent 5,7.29.3,,,,,,,
T2,B,B5-04,Agent 5,8.26.1,,,,,,,
T2,B,B6-03,Agent 6,8.21.1|8.23.5,,,,,,,
T2,B,B6-04,Agent 6,8.60.3|8.52.7,,,,,,,
T2,C,C9-05,Agent 9,8.51.2,高祖本纪,,,,,,
T2,C,C9-06,Agent 9,8.42.5,高祖本纪,,,,,,
T2,C,C9-07,Agent 9,53.4.3,萧相国世家,,,,,,
T2,C,C9-08,Agent 9,53.4.2,萧相国世家,,,,,,
