form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T1,A,A-1-01,Agent 2/3/4,7.1.2,项羽本纪,,,,,,
T1,A,A-1-02,Agent 2/3/4,7.48.3,项羽本纪,,,,,,
T1,A,A-1-03,Agent 2/3/4,8.5.11,高祖本纪,,,,,,
T1,A,A-1-04,Agent 2/3/4,8.6.2,高祖本纪,,,,,,
T1,A,A-1-05,Agent 2/3/4,8.9.1,高祖本纪,,,,,,
T1,A,A-1-06,Agent 2/3/4,8.10.7,高祖本纪,,,,,,
T1,A,A-1-07,Agent 2/3/4,7.17.7,项羽本纪,,,,,,
T1,A,A-1-08,Agent 2/3/4,7.17.2,项羽本纪,,,,,,
T1,B,B5-01,Agent 5,8.23.3,,,,,,,
T1,B,B5-02,Agent 5,8.30.1,,,,,,,
T1,B,B6-01,Agent 6,8.16.1|8.9.1,,,,,,,
T1,B,B6-02,Agent 6,8.22.1|8.23.3,,,,,,,
T1,C,C9-01,Agent 9,7.3.15,项羽本纪,,,,,,
T1,C,C9-02,Agent 9,7.10.1,项羽本纪,,,,,,
T1,C,C9-03,Agent 9,7.17.2,项羽本纪,,,,,,
T1,C,C9-04,Agent 9,7.27.1,项羽本纪,,,,,,
