form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T1,A,A-1-01,Agent 2/3/4,7.1.2,项羽本纪,无,否,否,,1.0,[reviewed] 目标句描述项羽小时候学习的具体事件，有事件发生，不是下沉句；无明确时间信息原文；属于顺叙，不是插叙。
T1,A,A-1-02,Agent 2/3/4,7.48.3,项羽本纪,最初,否,是,,1.0,[reviewed] '最初'是明确的时间信息原文；句子陈述鲁公安葬原因，非下沉；'最初'回溯楚怀王封项籍为鲁公，偏离当前叙事主线，判定为插叙。
T1,A,A-1-03,Agent 2/3/4,8.5.11,高祖本纪,等到高祖显贵,否,否,,0.9,[reviewed] 目标句有明确时间信息原文'等到高祖显贵'；句子陈述具体事件（老人去处不知），非下沉句；叙事顺序正常，非插叙。
T1,A,A-1-04,Agent 2/3/4,8.6.2,高祖本纪,等到显贵时,否,否,,1.0,[reviewed] 目标句有明确时间短语‘等到显贵时’，且陈述了戴帽子的习惯动作，不是纯背景描述。
T1,A,A-1-05,Agent 2/3/4,8.9.1,高祖本纪,秦二世元年秋天,否,否,,1.0,[reviewed] 目标句明确叙述陈胜起义，有确切时间，非下沉句，按时间顺序叙述，非插叙。
T1,A,A-1-06,Agent 2/3/4,8.10.7,高祖本纪,无,否,否,,0.95,[reviewed] 句子虽描述身份背景，但包含“推让刘季”这一动作事件，不应为下沉句；且未偏离当前叙事时间线，故非插叙。
T1,A,A-1-07,Agent 2/3/4,7.17.7,项羽本纪,无,否,否,,1.0,[reviewed] 目标句7.17.7是项羽的直接引语，属于说话内容，不提取时间信息，且无独立事件描述。
T1,A,A-1-08,Agent 2/3/4,7.17.2,项羽本纪,无,否,否,,1.0,[reviewed] 句子描述函谷关有兵把守，属于具体事件，非下沉句；叙事连贯，无时间线中断，非插叙。
T1,B,B5-01,Agent 5,8.23.3,,,,,B,1.0,题面前文明确给出沛公在汉元年十月先入关，后文直接叙述十一月项羽西进入关，时间顺序自然延续为汉元年十一月。
T1,B,B5-02,Agent 5,8.30.1,,,,,B,1.0,前文交代汉王在八月袭击章邯并平定雍地，接着出现'二年'，根据汉初纪年叙事连续性，应为汉二年。
T1,B,B6-01,Agent 6,8.16.1|8.9.1,,,,,A,1.0,材料A提到秦二世三年，材料B提到秦二世元年秋天，秦二世三年晚于秦二世元年，因此A晚于B，即B早于A。
T1,B,B6-02,Agent 6,8.22.1|8.23.3,,,,,A,1.0,材料A讲沛公先到霸上、降秦王、入咸阳；材料B讲项羽后来率军西进欲入关而关门已闭，可见A在前B在后。
T1,C,C9-01,Agent 9,7.3.15,项羽本纪,,,,B,0.7,target描述项羽在吴中起兵时搜罗精兵八千人，source B的8.11.3提到'项梁、项羽起兵于吴'，两者核心动作（起兵）和地点（吴）一致，而其他选项涉及沛公或不同事件链。
T1,C,C9-02,Agent 9,7.10.1,项羽本纪,,,,C,1.0,target描述楚怀王因定陶战败恐惧，从盱台迁到彭城，合并项羽、吕臣军队。C中的8.16.1直接对应同一事件：秦二世三年，楚怀王看到项梁军被打垮，恐惧，迁离盱台，建都彭城，合并吕臣、项羽军队。核心参与者、动作、对象、原因均一致。
T1,C,C9-03,Agent 9,7.17.2,项羽本纪,,,,A,0.95,Target说函谷关有兵把守不能进去，A中8.23.1-8.23.3明确提到沛公听劝派兵守函谷关、关门闭着、项羽欲入关而关门闭着，核心动作链完全一致。B、C、D均未涉及守关闭门这一具体事件。
T1,C,C9-04,Agent 9,7.27.1,项羽本纪,,,,D,1.0,target描述汉王回军平定三秦，source D的8.29.1-8.29.3详细叙述了汉王用韩信计从故道回军，袭击并击败雍王章邯，平定雍地，与target的核心动作链一致。
T2,A,A-2-01,Agent 2/3/4,8.21.1,高祖本纪,起初,否,是,,0.9,[reviewed] 句子以'起初'开头，明确回溯到项羽北救赵之前，与主线沛公西进时间线不一致，属于插叙。
T2,A,A-2-02,Agent 2/3/4,8.38.5,高祖本纪,第二年,否,否,,1.0,[reviewed] 有明确时间词'第二年'，且按顺序叙事，非下沉句或插叙。
T2,A,A-2-03,Agent 2/3/4,8.60.3,高祖本纪,项氏失败时,否,是,,1.0,[reviewed] 时间信息原文为'项氏失败时'；句子陈述利几的投降经历，非下沉句；'项氏失败时'将时间线拉回过去解释利几背景，属于插叙。
T2,A,A-2-04,Agent 2/3/4,8.84.1,高祖本纪,高祖攻打黥布时,否,否,,0.95,[reviewed] 目标句有明确时间短语'高祖攻打黥布时'；句子陈述了被流矢射中、得病等具体事件，不是下沉句；叙事按时间顺序，未偏离主线。
T2,A,A-2-05,Agent 2/3/4,8.11.1,高祖本纪,秦二世二年,否,否,,1.0,[reviewed] 句首有明确纪年'秦二世二年'，且描述陈胜将领周章的具体事件，非下沉句或插叙。
T2,A,A-2-06,Agent 2/3/4,8.22.1,高祖本纪,汉元年十月,否,否,,1.0,[reviewed] 句首明确纪年，描述军队到达事件，非下沉或插叙。
T2,A,A-2-07,Agent 2/3/4,7.18.1,项羽本纪,无,是,否,,0.9,[reviewed] 句子介绍项伯身份及与张良的关系，无具体事件，无明确时间原文，为下沉句。
T2,A,A-2-08,Agent 2/3/4,7.29.3,项羽本纪,春天,否,否,,1.0,[reviewed] 句首明确时间词“春天”，描述汉王东进伐楚具体事件，非下沉句；上下文按时间顺序叙述，无插叙。
T2,B,B5-03,Agent 5,7.29.3,,,,,A,0.95,题面原文为‘四月’，前文明确给出‘汉二年冬’和‘春天’的叙事序列，根据汉初纪年岁首及叙事连续性，‘四月’应接续在‘汉二年春’之后，故为汉二年四月。
T2,B,B5-04,Agent 5,8.26.1,,,,,C,1.0,材料写明‘正月’且前文是汉元年十一月、十二月，符合汉元年正月的时间顺序。
T2,B,B6-03,Agent 6,8.21.1|8.23.5,,,,,A,1.0,材料A中项羽杀宋义北上救赵早于材料B中项羽破关入戏，事件顺序明确
T2,B,B6-04,Agent 6,8.60.3|8.52.7,,,,,A,0.95,材料A提到项氏失败、项羽未死时利几投降刘邦，材料B说汉王派灌婴追击并斩杀项羽，根据历史常识，项羽死后楚地才平定，因此A事件（项羽失败中）早于B事件（项羽被杀后）。
T2,C,C9-05,Agent 9,8.51.2,高祖本纪,,,,B,0.95,target核心动作链为汉王欲西还、被劝、追击项羽至阳夏南、与韩信彭越约期会合；B选项7.44.1明确记载汉五年汉王追项王至阳夏南、与淮阴侯韩信建成侯彭越约期会合，核心动作和对象完全一致，且时间直接衔接。
T2,C,C9-06,Agent 9,8.42.5,高祖本纪,,,,D,0.95,target说项羽攻克荥阳杀周苛枞公俘虏韩王信进围成皋，D的7.34.4-7.34.7明确记载楚攻下荥阳活捉周苛烹杀周苛并杀枞公，核心动作链完全一致。
